,date,count
0,20260110,96405
1,20260704,87441
2,20260519,109385
3,20251006,40922
4,20240417,85927
5,20240914,55014
6,20260522,7712
7,20251019,58203
8,20250107,49424
9,20251204,38214
10,20260624,106205
11,20260328,64412
12,20250626,39520
13,20250502,123753
14,20260426,70116
15,20240103,36521
16,20240511,126207
17,20240920,62724
18,20251013,108448
19,20240517,8641
20,20250321,66095
21,20250802,24818
22,20231218,56545
23,20260120,66351
24,20250707,35260
25,20260806,122196
26,20240122,43334
27,20251021,68552
28,20251109,47904
29,20250527,92558
30,20250721,86434
31,20250220,75376
32,20260127,68804
33,20250914,85422
34,20261127,31706
35,20240908,72898
36,20250221,48006
37,20251113,52494
38,20250312,310
39,20240329,48233
40,20240331,97551
41,20240202,50096
42,20261018,47529
43,20241028,76354
44,20261101,99772
45,20261026,23246
46,20240421,38964
47,20240703,21549
48,20250212,45499
49,20250718,46146
50,20260819,68486
51,20260728,7129
52,20241002,3954
53,20250416,51847
54,20240303,54779
55,20261204,61655
56,20260507,14860
57,20240108,48896
58,20250901,63878
59,20240405,95062
60,20240823,29442
61,20250723,79174
62,20240227,34858
63,20231128,23828
64,20250516,63764
65,20240501,100602
66,20240825,88557
67,20241111,55964
68,20260720,88679
69,20250825,87805
70,20241003,103879
71,20251003,63439
72,20260107,64399
73,20260601,22950
74,20241010,49777
75,20251020,129420
76,20240309,100132
77,20240424,41250
78,20240928,26928
79,20260121,56150
80,20250209,58808
81,20240918,14924
82,20240810,7288
83,20251029,49671
84,20240325,37904
85,20240102,68940
86,20260418,114198
87,20260911,81837
88,20260403,50321
89,20251110,75672
90,20250225,85021
91,20260625,21117
92,20240123,56121
93,20260319,96617
94,20251004,30712
95,20250109,35141
96,20260813,43416
97,20261029,43025
98,20260502,16959
99,20250805,22136
100,20260823,26234
101,20250701,71836
102,20250313,42319
103,20250912,87123
104,20250120,50380
105,20250101,39629
106,20260129,70795
107,20251115,102249
108,20250214,41577
109,20261023,43799
110,20250926,82644
111,20260529,54044
112,20240506,126061
113,20260323,54230
114,20260521,105102
115,20260208,98693
116,20261019,56328
117,20251011,28692
118,20261022,669
119,20260531,12236
120,20250819,69605
121,20260114,82931
122,20261129,35632
123,20261030,22652
124,20260726,6909
125,20250625,76682
126,20240924,8647
127,20250306,28292
128,20240426,32176
129,20250930,70830
130,20260308,64967
131,20261016,59045
132,20240304,108916
133,20251219,55952
134,20251227,47078
135,20251116,68479
136,20250906,42092
137,20240321,41478
138,20260919,38661
139,20260417,90227
140,20260814,1249
141,20250907,30197
142,20240804,66354
143,20260821,74829
144,20250311,56372
145,20260307,71626
146,20251212,68628
147,20240130,60823
148,20260409,109837
149,20251126,50014
150,20250317,44817
151,20261014,15823
152,20251119,98415
153,20240311,88477
154,20240412,111897
155,20260315,99811
156,20260101,24168
157,20260927,27465
158,20240615,67336
159,20251014,109048
160,20240805,118408
161,20250103,43091
162,20241031,59856
163,20260407,61652
164,20241223,71085
165,20240502,103341
166,20240416,71588
167,20240717,12356
168,20241017,1525
169,20240626,83513
170,20260424,95549
171,20261031,6433
172,20240225,36384
173,20261011,118386
174,20240129,36308
175,20241006,32863
176,20250810,42760
177,20250812,73562
178,20250902,46449
179,20250923,97815
180,20240807,73235
181,20260117,84274
182,20260415,109632
183,20260731,57644
184,20240628,78787
185,20241217,36875
186,20241214,36457
187,20241215,28520
188,20240404,98031
189,20260302,39411
190,20260221,115398
191,20251015,90620
192,20241127,4609
193,20250827,81054
194,20240503,100247
195,20240330,58227
196,20260708,117218
197,20240306,93321
198,20260109,53309
199,20260224,78603
200,20240410,126071
201,20260303,45615
202,20231208,65617
203,20250817,47890
204,20260705,103339
205,20251101,67132
206,20250630,79489
207,20260622,18448
208,20240204,43345
209,20250729,57141
210,20240116,116945
211,20241007,50094
212,20250111,34653
213,20241121,79300
214,20240513,110069
215,20231204,73181
216,20260311,89
217,20231221,37156
218,20260202,39965
219,20260305,34073
220,20231207,49099
221,20241116,13875
222,20240307,107461
223,20260213,72016
224,20240627,61177
225,20241218,37073
226,20250717,96180
227,20260515,106058
228,20250925,36484
229,20240109,94088
230,20240111,79668
231,20240510,11699
232,20260925,52159
233,20240819,19776
234,20241225,73324
235,20251024,109090
236,20251102,24150
237,20240911,82720
238,20240318,56626
239,20260909,63310
240,20261013,65313
241,20260406,89540
242,20250327,26809
243,20250813,78370
244,20260210,86349
245,20261020,44331
246,20241230,32099
247,20251214,107494
248,20260926,52088
249,20260207,72017
250,20240110,53008
251,20260811,95363
252,20260621,11225
253,20250708,45802
254,20240508,77291
255,20241009,46989
256,20250826,103343
257,20240714,83286
258,20260429,17594
259,20260322,116471
260,20260425,85281
261,20250715,63169
262,20241227,63119
263,20240201,62368
264,20260516,94802
265,20260724,71785
266,20240106,70227
267,20240428,73567
268,20240324,43338
269,20260304,40197
270,20240226,41368
271,20241226,58191
272,20260712,12243
273,20260104,27645
274,20250319,23478
275,20231201,41779
276,20260225,79110
277,20240220,62051
278,20250104,71319
279,20240606,50874
280,20250512,47621
281,20250124,48963
282,20251025,39914
283,20231217,87311
284,20240222,49691
285,20260915,87221
286,20250624,70464
287,20261007,66962
288,20261111,106347
289,20250114,32782
290,20241221,12123
291,20250606,9540
292,20250211,36090
293,20250227,80435
294,20251017,64127
295,20260713,99990
296,20251007,18423
297,20251114,72608
298,20260824,36460
299,20251009,62304
300,20251002,34764
301,20231230,15598
302,20251124,76990
303,20260301,41032
304,20261114,61076
305,20240722,20320
306,20260401,18959
307,20261130,58133
308,20250927,116744
309,20251216,47632
310,20260812,37701
311,20250730,76864
312,20250514,53820
313,20250112,43686
314,20240904,5778
315,20240614,3786
316,20250528,79125
317,20231209,54175
318,20241026,45949
319,20250911,20449
320,20261122,33991
321,20250414,46014
322,20261121,43910
323,20260729,23702
324,20250130,76387
325,20240423,42351
326,20250713,9663
327,20240930,25521
328,20240203,81622
329,20240723,9344
330,20241030,71597
331,20250604,72207
332,20260320,106952
333,20260730,45575
334,20260317,125905
335,20251229,28418
336,20240326,34169
337,20251026,99681
338,20240623,27398
339,20240629,101008
340,20251005,40311
341,20241211,17949
342,20251215,118247
343,20240205,74378
344,20260214,93204
345,20251027,87667
346,20240828,26046
347,20260509,123759
348,20250320,71684
349,20260106,56299
350,20250316,50717
351,20251030,71161
352,20251228,21963
353,20241008,3012
354,20260714,90345
355,20240118,70023
356,20240927,55940
357,20241023,53623
358,20260204,51536
359,20250213,38454
360,20260604,39367
361,20250218,11137
362,20260309,97700
363,20261125,35395
364,20260404,27455
365,20240929,43260
366,20250403,7611
367,20260211,100659
368,20260219,86044
369,20260430,34416
370,20260908,76607
371,20260716,20987
372,20240310,114478
373,20240718,3809
374,20250325,54836
375,20240821,50294
376,20241015,11453
377,20261117,43410
378,20240408,99641
379,20250226,113701
380,20250621,76722
381,20260820,23722
382,20250513,56386
383,20251225,90655
384,20240112,83228
385,20231219,38021
386,20240521,5435
387,20240402,105077
388,20260520,111997
389,20240429,68086
390,20260801,63185
391,20251221,77197
392,20260326,90857
393,20260227,74172
394,20240229,64261
395,20260209,58571
396,20251231,21377
397,20240427,63204
398,20260513,105706
399,20251117,78223
400,20260818,86672
401,20250814,51923
402,20240622,24174
403,20240301,70442
404,20250601,43701
405,20231213,78145
406,20250121,47855
407,20260805,8986
408,20250426,114759
409,20250918,95674
410,20260124,95764
411,20250922,67149
412,20260815,87583
413,20240419,19475
414,20260912,7824
415,20260707,63892
416,20250428,48667
417,20260411,76860
418,20240418,86511
419,20261112,61954
420,20240218,56615
421,20250725,81105
422,20261120,27993
423,20261001,31583
424,20250603,73972
425,20261113,56019
426,20240906,25615
427,20251128,69524
428,20240712,89182
429,20251112,65629
430,20231205,50533
431,20250706,40441
432,20241018,44256
433,20260514,48264
434,20250115,43959
435,20260313,92908
436,20250401,117478
437,20240316,1448
438,20250824,108368
439,20250908,7128
440,20251230,52046
441,20250822,17993
442,20240128,31301
443,20251208,72865
444,20260126,68770
445,20250118,46972
446,20261006,22202
447,20260318,94213
448,20251220,72800
449,20241022,60041
450,20250905,45752
451,20240913,62650
452,20240531,55873
