,date,count
0,20260110,58700
1,20260519,81808
2,20240417,76994
3,20240914,48797
4,20251006,31450
5,20260704,72950
6,20260522,4678
7,20241207,4531
8,20260624,89680
9,20250502,90287
10,20250107,32707
11,20251019,35099
12,20260328,66443
13,20250626,27862
14,20251204,27371
15,20260120,46291
16,20260426,64691
17,20240920,58488
18,20231218,32037
19,20250321,51659
20,20240517,8412
21,20250707,31577
22,20251013,66055
23,20250802,23653
24,20240103,29344
25,20240511,91114
26,20250527,61745
27,20250721,70626
28,20251021,39722
29,20240122,35544
30,20250220,57400
31,20260127,46717
32,20260806,75195
33,20251109,33231
34,20251113,36328
35,20250914,64063
36,20250221,40897
37,20240908,63405
38,20240329,34767
39,20261127,20326
40,20240331,72736
41,20240202,32007
42,20240303,31659
43,20241028,44801
44,20260819,64328
45,20240703,15063
46,20261026,19566
47,20240421,49628
48,20250718,25771
49,20241002,2970
50,20250312,296
51,20261018,28788
52,20261101,54262
53,20250416,39675
54,20260728,5456
55,20250212,48009
56,20261204,38585
57,20240405,63020
58,20250723,59868
59,20250901,41159
60,20240823,20017
61,20240227,25697
62,20231128,22850
63,20240108,37807
64,20260507,7454
65,20241003,54664
66,20240825,78971
67,20250516,45165
68,20260720,78179
69,20251003,51516
70,20240501,104788
71,20260107,50298
72,20241111,32704
73,20250825,54344
74,20240928,16024
75,20251020,71916
76,20240102,54364
77,20240424,39828
78,20260121,42927
79,20251029,29307
80,20240325,38222
81,20240918,9510
82,20240810,5260
83,20240309,62468
84,20250209,46331
85,20241010,28094
86,20260601,14233
87,20260911,58219
88,20250225,59977
89,20260625,26056
90,20251110,41220
91,20260403,54965
92,20260418,90284
93,20240123,44070
94,20250109,26272
95,20260319,64342
96,20261029,29152
97,20251004,30605
98,20260813,31593
99,20250805,11573
100,20260502,16990
101,20250912,53618
102,20250101,27747
103,20250313,46084
104,20260823,18425
105,20250120,30871
106,20250701,73465
107,20240506,83977
108,20251115,61834
109,20241201,44849
110,20260129,52830
111,20260521,73863
112,20250214,40436
113,20261023,36450
114,20260323,40652
